기간	자치구	동	합계	합계	합계	국민기초생활보장수급권자	국민기초생활보장수급권자	국민기초생활보장수급권자	저소득노인	저소득노인	저소득노인	일반	일반	일반
기간	자치구	동	계	65세~79세	80세이상	계	65세~79세	80세이상	계	65세~79세	80세이상	계	65세~79세	80세이상
2019	합계	합계	343,567	255,395	88,172	80,376	56,572	23,804	20,131	11,772	8,359	243,060	187,051	56,009
2019	종로구	소계	9,149	6,653	2,496	1,445	1,099	346	528	323	205	7,176	5,231	1,945
2019	종로구	사직동	439	284	155	59	33	26	20	15	5	360	236	124
2019	종로구	삼청동	167	109	58	13	10	3	5	1	4	149	98	51
2019	종로구	부암동	346	221	125	37	22	15	12	6	6	297	193	104
2019	종로구	평창동	640	397	243	45	31	14	26	11	15	569	355	214
2019	종로구	무악동	265	189	76	57	39	18	17	8	9	191	142	49
2019	종로구	교남동	1,650	1,259	391	68	50	18	25	16	9	1,557	1,193	364
2019	종로구	가회동	216	157	59	15	11	4	13	7	6	188	139	49
2019	종로구	종로1.2.3.4가동	781	599	182	298	250	48	38	22	16	445	327	118
2019	종로구	종로5·6가동	508	384	124	72	59	13	25	15	10	411	310	101
2019	종로구	이화동	596	415	181	89	60	29	130	87	43	377	268	109
2019	종로구	창신1동	477	394	83	184	155	29	21	13	8	272	226	46
2019	종로구	창신2동	496	428	68	129	103	26	22	14	8	345	311	34
2019	종로구	창신3동	328	231	97	47	35	12	25	13	12	256	183	73
2019	종로구	숭인1동	481	351	130	74	58	16	37	26	11	370	267	103
2019	종로구	숭인2동	626	494	132	125	96	29	27	20	7	474	378	96
2019	종로구	청운효자동	476	313	163	53	27	26	32	13	19	391	273	118
2019	종로구	혜화동	657	428	229	80	60	20	53	36	17	524	332	192
2019	중구	소계	6,323	4,682	1,641	1,447	1,056	391	325	187	138	4,551	3,439	1,112
2019	중구	소공동	72	63	9	14	14	-	1	1	-	57	48	9
2019	중구	회현동	492	397	95	182	161	21	12	3	9	298	233	65
2019	중구	명동	180	148	32	32	26	6	5	3	2	143	119	24
2019	중구	필동	238	174	64	31	21	10	8	7	1	199	146	53
2019	중구	장충동	207	154	53	34	27	7	5	4	1	168	123	45
2019	중구	광희동	392	310	82	56	39	17	12	7	5	324	264	60
2019	중구	을지로동	228	177	51	43	31	12	9	5	4	176	141	35
2019	중구	신당5동	481	362	119	115	84	31	32	15	17	334	263	71
2019	중구	황학동	562	438	124	151	108	43	24	15	9	387	315	72
2019	중구	중림동	508	371	137	144	106	38	26	14	12	338	251	87
2019	중구	신당동	464	353	111	93	72	21	27	13	14	344	268	76
2019	중구	다산동	609	465	144	114	88	26	30	21	9	465	356	109
2019	중구	약수동	949	624	325	219	139	80	81	48	33	649	437	212
2019	중구	청구동	657	456	201	184	117	67	39	25	14	434	314	120
2019	중구	동화동	284	190	94	35	23	12	14	6	8	235	161	74
2019	용산구	소계	8,838	6,341	2,497	2,154	1,571	583	293	155	138	6,391	4,615	1,776
2019	용산구	후암동	748	527	221	212	133	79	27	16	11	509	378	131
2019	용산구	용산2가동	483	325	158	113	78	35	29	10	19	341	237	104
2019	용산구	남영동	787	655	132	426	377	49	16	13	3	345	265	80
2019	용산구	원효로2동	482	337	145	127	94	33	12	4	8	343	239	104
2019	용산구	효창동	259	182	77	31	22	9	5	3	2	223	157	66
2019	용산구	용문동	399	302	97	106	74	32	11	7	4	282	221	61
2019	용산구	이촌1동	654	376	278	16	7	9	2	1	1	636	368	268
2019	용산구	이촌2동	365	241	124	47	26	21	9	4	5	309	211	98
2019	용산구	이태원1동	316	218	98	52	37	15	15	10	5	249	171	78
2019	용산구	이태원2동	406	279	127	79	49	30	18	5	13	309	225	84
2019	용산구	서빙고동	430	275	155	71	44	27	12	5	7	347	226	121
2019	용산구	보광동	714	528	186	245	164	81	41	19	22	428	345	83
2019	용산구	청파동	832	653	179	225	169	56	31	18	13	576	466	110
2019	용산구	원효로1동	439	336	103	74	62	12	17	9	8	348	265	83
2019	용산구	한강로동	702	482	220	157	114	43	16	11	5	529	357	172
2019	용산구	한남동	822	625	197	173	121	52	32	20	12	617	484	133
2019	성동구	소계	10,764	7,455	3,309	2,220	1,530	690	548	315	233	7,996	5,610	2,386
2019	성동구	왕십리2동	637	451	186	110	73	37	30	21	9	497	357	140
2019	성동구	마장동	888	633	255	166	116	50	49	27	22	673	490	183
2019	성동구	사근동	374	251	123	43	29	14	23	14	9	308	208	100
2019	성동구	행당1동	600	434	166	121	92	29	29	17	12	450	325	125
2019	성동구	행당2동	757	516	241	191	133	58	36	20	16	530	363	167
2019	성동구	응봉동	479	311	168	32	18	14	25	13	12	422	280	142
2019	성동구	금호1가동	612	391	221	199	122	77	37	19	18	376	250	126
2019	성동구	금호4가동	527	359	168	108	76	32	26	14	12	393	269	124
2019	성동구	성수1가1동	519	385	134	97	78	19	27	14	13	395	293	102
2019	성동구	성수1가2동	476	321	155	63	35	28	23	15	8	390	271	119
2019	성동구	성수2가1동	812	593	219	179	137	42	40	25	15	593	431	162
